epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.391,0.69711,1.15184,1.9486,1.18052,0.01482,0.66959,0.01201,0.00464,0.00376,0.15205,0.00109,0.00028,2.40267,292.01,inf,17.0129,0.000651163,0.000651163,0.000651163
2,182.524,0.94629,1.45061,1.31917,1.34002,0.004,0.34795,0.00306,0.00068,0,0,0,0,4.26924,nan,inf,162.063,0.00129174,0.00129174,0.00129174
3,266.995,1.01259,1.47016,1.16046,1.41023,0.00688,0.0848,0.00432,0.00099,0.0064,0.07895,0.00405,0.00225,1.09072,11.8412,44.2754,2.5172,0.00190591,0.00190591,0.00190591
4,348.897,0.92498,1.29575,1.02278,1.31385,0.87831,0.48538,0.64583,0.43111,0.74074,0.40936,0.40865,0.15716,1.04605,8.87671,6.81777,1.90904,0.0018812,0.0018812,0.0018812
5,437.969,0.86208,1.45685,0.96448,1.26414,0.29691,0.60819,0.46175,0.27078,0.28834,0.59064,0.44398,0.19621,1.13103,10.2168,9.22966,1.8227,0.0018416,0.0018416,0.0018416
6,519.75,0.74284,1.19763,0.82248,1.19833,0.46575,0.5848,0.52385,0.25308,0.46065,0.5614,0.47024,0.19402,1.59958,15.739,2.02108,1.9014,0.001802,0.001802,0.001802
7,601.791,0.75,1.2663,0.82643,1.16568,0.52092,0.74269,0.67909,0.50079,0.52502,0.74854,0.67998,0.51198,0.84147,4.40295,3.85655,1.43742,0.0017624,0.0017624,0.0017624
8,699.54,0.71306,1.24471,0.77506,1.16823,0.90783,0.72002,0.81112,0.67806,0.91152,0.72294,0.8161,0.6719,0.7399,1.48302,0.8215,1.2118,0.0017228,0.0017228,0.0017228
9,799.33,0.66748,1.10331,0.74153,1.12621,0.90505,0.76608,0.84742,0.71619,0.8901,0.76316,0.84005,0.66783,0.65305,1.47364,0.75595,1.17297,0.0016832,0.0016832,0.0016832
10,897.564,0.63508,0.99266,0.68561,1.11779,0.82356,0.72222,0.81531,0.67835,0.82272,0.7193,0.81395,0.63827,0.7096,1.87545,0.92287,1.19962,0.0016436,0.0016436,0.0016436
11,989.607,0.6179,1.00204,0.66193,1.11008,0.79857,0.85965,0.9054,0.75249,0.79015,0.85088,0.89011,0.694,0.62825,1.47199,0.72417,1.14955,0.001604,0.001604,0.001604
12,1092.61,0.61227,0.932,0.65193,1.11613,0.94883,0.75901,0.89094,0.73845,0.94505,0.75428,0.88165,0.71028,0.62114,1.54979,0.68097,1.12998,0.0015644,0.0015644,0.0015644
13,1184.92,0.62112,1.10283,0.65599,1.11585,0.87067,0.76316,0.88604,0.73931,0.85868,0.78175,0.88996,0.72913,0.61667,1.42762,0.81643,1.14914,0.0015248,0.0015248,0.0015248
